,symboling,normalized-losses,aspiration,num-of-doors,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,make_le,body-style_le,drive-wheels_le,engine-location_le,engine-type_le,fuel-system_le,aspiration_le,fuel_type_le
88,4,137,std,4,front,96.3,0.8284478616049976,0.9045643153526972,0.8628762541806021,2403,ohc,4,110,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,11,3,1,0,3,6,0,1
89,1,128,std,2,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,1889,ohc,4,97,3.15,3.29,9.4,69.0,5200.0,31,37,5499.0,12,3,1,0,3,1,0,1
90,1,128,std,2,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,2017,ohc,4,103,2.99,3.47,21.9,55.0,4800.0,45,50,7099.0,12,3,1,0,3,3,0,0
91,1,128,std,2,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,1918,ohc,4,97,3.15,3.29,9.4,69.0,5200.0,31,37,6649.0,12,3,1,0,3,1,0,1
92,1,122,std,4,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,1938,ohc,4,97,3.15,3.29,9.4,69.0,5200.0,31,37,6849.0,12,3,1,0,3,1,0,1
93,1,103,std,4,front,94.5,0.8178760211436809,0.8824343015214384,0.8946488294314382,2024,ohc,4,97,3.15,3.29,9.4,69.0,5200.0,31,37,7349.0,12,4,1,0,3,1,0,1
94,1,128,std,2,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,1951,ohc,4,97,3.15,3.29,9.4,69.0,5200.0,31,37,7299.0,12,3,1,0,3,1,0,1
95,1,128,std,2,front,94.5,0.7957712638154734,0.8824343015214384,0.8913043478260869,2028,ohc,4,97,3.15,3.29,9.4,69.0,5200.0,31,37,7799.0,12,2,1,0,3,1,0,1
96,1,122,std,4,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,1971,ohc,4,97,3.15,3.29,9.4,69.0,5200.0,31,37,7499.0,12,3,1,0,3,1,0,1
97,1,103,std,4,front,94.5,0.8178760211436809,0.8824343015214384,0.8946488294314382,2037,ohc,4,97,3.15,3.29,9.4,69.0,5200.0,31,37,7999.0,12,4,1,0,3,1,0,1
98,2,168,std,2,front,95.1,0.7803940413262855,0.8824343015214384,0.8913043478260869,2008,ohc,4,97,3.15,3.29,9.4,69.0,5200.0,31,37,8249.0,12,1,1,0,3,1,0,1
99,0,106,std,4,front,97.2,0.8332532436328689,0.9017980636237899,0.9147157190635452,2324,ohc,4,120,3.33,3.47,8.5,97.0,5200.0,27,34,8949.0,12,2,1,0,3,1,0,1
100,0,106,std,4,front,97.2,0.8332532436328689,0.9017980636237899,0.9147157190635452,2302,ohc,4,120,3.33,3.47,8.5,97.0,5200.0,27,34,9549.0,12,3,1,0,3,1,0,1
101,0,128,std,4,front,100.4,0.8731379144641999,0.9197786998616875,0.9214046822742475,3095,ohcv,6,181,3.43,3.27,9.0,152.0,5200.0,17,22,13499.0,12,3,1,0,5,5,0,1
102,0,108,std,4,front,100.4,0.8870735223450265,0.9197786998616875,0.9381270903010034,3296,ohcv,6,181,3.43,3.27,9.0,152.0,5200.0,17,22,14399.0,12,4,1,0,5,5,0,1
103,0,108,std,4,front,100.4,0.8870735223450265,0.9197786998616875,0.9214046822742475,3060,ohcv,6,181,3.43,3.27,9.0,152.0,5200.0,19,25,13499.0,12,3,1,0,5,5,0,1
104,3,194,std,2,front,91.3,0.8202787121576165,0.9391424619640388,0.831103678929766,3071,ohcv,6,181,3.43,3.27,9.0,160.0,5200.0,19,25,17199.0,12,2,2,0,5,5,0,1
105,3,194,turbo,2,front,91.3,0.8202787121576165,0.9391424619640388,0.831103678929766,3139,ohcv,6,181,3.43,3.27,7.8,200.0,5200.0,17,23,19699.0,12,2,2,0,5,5,1,1
106,1,231,std,2,front,99.2,0.857760691975012,0.9391424619640388,0.831103678929766,3139,ohcv,6,181,3.43,3.27,9.0,160.0,5200.0,19,25,18399.0,12,2,2,0,5,5,0,1
107,0,161,std,4,front,107.9,0.897164824603556,0.9460580912863071,0.948160535117057,3020,l,4,120,3.46,3.19,8.4,97.0,5000.0,19,24,11900.0,13,3,2,0,2,5,0,1
108,0,161,turbo,4,front,107.9,0.897164824603556,0.9460580912863071,0.948160535117057,3197,l,4,152,3.7,3.52,21.0,95.0,4150.0,28,33,13200.0,13,3,2,0,2,3,1,0
109,0,122,std,4,front,114.2,0.9557904853435849,0.9460580912863071,0.9816053511705687,3230,l,4,120,3.46,3.19,8.4,97.0,5000.0,19,24,12440.0,13,4,2,0,2,5,0,1
110,0,122,turbo,4,front,114.2,0.9557904853435849,0.9460580912863071,0.9816053511705687,3430,l,4,152,3.7,3.52,21.0,95.0,4150.0,25,25,13860.0,13,4,2,0,2,3,1,0
111,0,161,std,4,front,107.9,0.897164824603556,0.9460580912863071,0.948160535117057,3075,l,4,120,3.46,2.19,8.4,95.0,5000.0,19,24,15580.0,13,3,2,0,2,5,0,1
112,0,161,turbo,4,front,107.9,0.897164824603556,0.9460580912863071,0.948160535117057,3252,l,4,152,3.7,3.52,21.0,95.0,4150.0,28,33,16900.0,13,3,2,0,2,3,1,0
113,0,122,std,4,front,114.2,0.9557904853435849,0.9460580912863071,0.948160535117057,3285,l,4,120,3.46,2.19,8.4,95.0,5000.0,19,24,16695.0,13,4,2,0,2,5,0,1
114,0,122,turbo,4,front,114.2,0.9557904853435849,0.9460580912863071,0.9816053511705687,3485,l,4,152,3.7,3.52,21.0,95.0,4150.0,25,25,17075.0,13,4,2,0,2,3,1,0
115,0,161,std,4,front,107.9,0.897164824603556,0.9460580912863071,0.948160535117057,3075,l,4,120,3.46,3.19,8.4,97.0,5000.0,19,24,16630.0,13,3,2,0,2,5,0,1
116,0,161,turbo,4,front,107.9,0.897164824603556,0.9460580912863071,0.948160535117057,3252,l,4,152,3.7,3.52,21.0,95.0,4150.0,28,33,17950.0,13,3,2,0,2,3,1,0
117,0,161,turbo,4,front,108.0,0.897164824603556,0.9446749654218534,0.9364548494983278,3130,l,4,134,3.61,3.21,7.0,142.0,5600.0,18,24,18150.0,13,3,2,0,2,5,1,1
118,1,119,std,2,front,93.7,0.7558865929841423,0.8824343015214384,0.8494983277591973,1918,ohc,4,90,2.97,3.23,9.4,68.0,5500.0,37,41,5572.0,14,2,1,0,3,1,0,1
119,1,119,turbo,2,front,93.7,0.7558865929841423,0.8824343015214384,0.8494983277591973,2128,ohc,4,98,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0,14,2,1,0,3,6,1,1
120,1,154,std,4,front,93.7,0.7558865929841423,0.8824343015214384,0.8461538461538463,1967,ohc,4,90,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0,14,2,1,0,3,1,0,1
121,1,154,std,4,front,93.7,0.8039404132628545,0.8824343015214384,0.8494983277591973,1989,ohc,4,90,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0,14,3,1,0,3,1,0,1
122,1,154,std,4,front,93.7,0.8039404132628545,0.8824343015214384,0.8494983277591973,2191,ohc,4,98,2.97,3.23,9.4,68.0,5500.0,31,38,7609.0,14,3,1,0,3,1,0,1
123,4,74,std,4,front,103.3,0.8390197020663143,0.8934993084370677,1.0,2535,ohc,4,122,3.35,3.46,8.5,88.0,5000.0,24,30,8921.0,14,4,1,0,3,1,0,1
124,3,122,turbo,2,front,95.9,0.8322921672272945,0.91701244813278,0.8394648829431439,2818,ohc,4,156,3.59,3.86,7.0,145.0,5000.0,19,24,12764.0,14,2,2,0,3,6,1,1
125,3,186,std,2,front,94.5,0.8116290245074483,0.9446749654218534,0.8394648829431439,2778,ohc,4,151,3.94,3.11,9.5,143.0,5500.0,19,27,22018.0,15,2,2,0,3,5,0,1
126,3,122,std,2,rear,89.5,0.8116290245074483,0.8990318118948825,0.8628762541806021,2756,ohcf,6,194,3.74,2.9,9.5,207.0,5900.0,17,25,32528.0,15,1,2,1,4,5,0,1
127,3,122,std,2,rear,89.5,0.8116290245074483,0.8990318118948825,0.8628762541806021,2756,ohcf,6,194,3.74,2.9,9.5,207.0,5900.0,17,25,34028.0,15,1,2,1,4,5,0,1
128,3,122,std,2,rear,89.5,0.8116290245074483,0.8990318118948825,0.8628762541806021,2800,ohcf,6,194,3.74,2.9,9.5,207.0,5900.0,17,25,37028.0,15,0,2,1,4,5,0,1
129,1,122,std,2,front,98.4,0.8443056222969726,1.0,0.8444816053511706,3366,dohcv,8,203,3.94,3.11,10.0,288.0,5750.0,17,28,,15,2,2,0,1,5,0,1
130,0,122,std,4,front,96.1,0.8721768380586257,0.9197786998616875,0.9230769230769231,2579,ohc,4,132,3.46,3.9,8.7,3.327500000000001,5124.009900990099,23,31,9295.0,16,4,1,0,3,5,0,1
131,2,122,std,2,front,96.1,0.849591542527631,0.921161825726141,0.8444816053511706,2460,ohc,4,132,3.46,3.9,8.7,3.327500000000001,5124.009900990099,23,31,9895.0,16,2,1,0,3,5,0,1
132,3,150,std,2,front,99.1,0.8966842864007688,0.9197786998616875,0.9381270903010034,2658,ohc,4,121,3.54,3.07,9.31,110.0,5250.0,21,28,11850.0,17,2,1,0,3,5,0,1
133,2,104,std,4,front,99.1,0.8966842864007688,0.9197786998616875,0.9381270903010034,2695,ohc,4,121,3.54,3.07,9.3,110.0,5250.0,21,28,12170.0,17,3,1,0,3,5,0,1
134,3,150,std,2,front,99.1,0.8966842864007688,0.9197786998616875,0.9381270903010034,2707,ohc,4,121,2.54,2.07,9.3,110.0,5250.0,21,28,15040.0,17,2,1,0,3,5,0,1
135,2,104,std,4,front,99.1,0.8966842864007688,0.9197786998616875,0.9381270903010034,2758,ohc,4,121,3.54,3.07,9.3,110.0,5250.0,21,28,15510.0,17,3,1,0,3,5,0,1
